Country Code,Country,Airport ICAO Code,Airport Name,Airport Latitude,Airport Longitude,Operation Type,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g),PM2.5 LTO Emission (g),HC LTO Total mass (g),CO LTO Total Mass (g)
US,United States of America (the),KOPF,Miami-Opa Locka Executive Airport,25.907,-80.278397,Commercial Freighter,352,123541,1110487,31036,232993,4544045
US,United States of America (the),KOPF,Miami-Opa Locka Executive Airport,25.907,-80.278397,General Aviation,20901,336830,1766037,104488,5108619,184772744
US,United States of America (the),KMAF,Midland International Air and Space Port,31.942499,-102.202003,Commercial Passenger,14018,6298368,68196156,617633,7456233,83547108
US,United States of America (the),KMAF,Midland International Air and Space Port,31.942499,-102.202003,Commercial Freighter,291,50334,406734,25331,2519,921605
US,United States of America (the),KMAF,Midland International Air and Space Port,31.942499,-102.202003,General Aviation,7848,86832,365713,12346,1479742,61393227
US,United States of America (the),KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741,Commercial Passenger,150822,111409678,1387374780,6880714,85415995,1181559921
US,United States of America (the),KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741,Commercial Freighter,4908,6142642,82299190,496544,5934191,56448793
US,United States of America (the),KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741,General Aviation,2145,1126162,15205373,86411,833185,16684591
US,United States of America (the),KMYF,Montgomery-Gibbs Executive Airport,32.8157,-117.139999,Commercial Passenger,2955,207106,793115,203116,3256486,15094902
US,United States of America (the),KMYF,Montgomery-Gibbs Executive Airport,32.8157,-117.139999,Commercial Freighter,36,12694,92449,2225,17129,392418
US,United States of America (the),KMYF,Montgomery-Gibbs Executive Airport,32.8157,-117.139999,General Aviation,52798,437264,1398788,52082,9539969,399174552
US,United States of America (the),KMYR,Myrtle Beach International Airport,33.679699,-78.928299,Commercial Passenger,16616,10934657,138967354,941569,10624990,120032897
US,United States of America (the),KMYR,Myrtle Beach International Airport,33.679699,-78.928299,Commercial Freighter,259,48524,427088,22623,5,589412
US,United States of America (the),KMYR,Myrtle Beach International Airport,33.679699,-78.928299,General Aviation,10042,137106,845415,16994,1878057,79074812
US,United States of America (the),KAPF,Naples Municipal Airport,26.1525993347,-81.7752990723,Commercial Passenger,3115,323733,2157039,206573,4951592,15979260
US,United States of America (the),KAPF,Naples Municipal Airport,26.1525993347,-81.7752990723,Commercial Freighter,3,467,3234,262,0,10056
US,United States of America (the),KAPF,Naples Municipal Airport,26.1525993347,-81.7752990723,General Aviation,21983,228490,680047,46880,4385126,173372581
US,United States of America (the),KBNA,Nashville International Airport,36.1245,-86.6782,Commercial Passenger,107089,75370502,951338416,5277988,74545785,815344491
US,United States of America (the),KBNA,Nashville International Airport,36.1245,-86.6782,Commercial Freighter,1726,2211099,29936926,174405,1800050,18509244
US,United States of America (the),KBNA,Nashville International Airport,36.1245,-86.6782,General Aviation,6868,453286,4525146,46459,2083824,74431973
US,United States of America (the),KNGP,Naval Air Station Corpus Christi Truax Field,27.6926,-97.2911,Commercial Passenger,19878,1939738,2533654,1193883,1923076,177593549
US,United States of America (the),KNGP,Naval Air Station Corpus Christi Truax Field,27.6926,-97.2911,General Aviation,1338,130799,166222,82736,134654,12259661
US,United States of America (the),KEVB,New Smyrna Beach Municipal Airport,29.0557,-80.948898,Commercial Passenger,480,31900,135900,29283,722103,2365704
US,United States of America (the),KEVB,New Smyrna Beach Municipal Airport,29.0557,-80.948898,General Aviation,51435,435214,1326608,47987,9414345,401993108
US,United States of America (the),KEWR,Newark Liberty International Airport,40.692501,-74.168701,Commercial Passenger,204966,182096040,2716597211,12200420,130580552,1693089428
US,United States of America (the),KEWR,Newark Liberty International Airport,40.692501,-74.168701,Commercial Freighter,7941,13828651,189100674,881673,13489070,117750981
US,United States of America (the),KEWR,Newark Liberty International Airport,40.692501,-74.168701,General Aviation,5370,1943418,24711921,278959,1354962,62199421
US,United States of America (the),KORF,Norfolk International Airport,36.895341,-76.201,Commercial Passenger,26318,16376304,195829187,1033834,15147312,180278912
US,United States of America (the),KORF,Norfolk International Airport,36.895341,-76.201,Commercial Freighter,748,976985,12225982,88857,1452966,9422542
US,United States of America (the),KORF,Norfolk International Airport,36.895341,-76.201,General Aviation,3785,102355,853060,11246,833744,33791293
US,United States of America (the),KSJC,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,Commercial Passenger,59100,41117288,522326983,2688056,41337212,438200781
US,United States of America (the),KSJC,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,Commercial Freighter,850,1270974,17174754,83782,1230344,10597100
US,United States of America (the),KSJC,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,General Aviation,4437,247652,2745972,25120,1134409,36116300
US,United States of America (the),KVGT,North Las Vegas Metropolitan International Airport,36.210701,-115.194,Commercial Passenger,3371,235107,794050,169198,4824951,20325559
US,United States of America (the),KVGT,North Las Vegas Metropolitan International Airport,36.210701,-115.194,Commercial Freighter,5,413,1591,437,302,16124
US,United States of America (the),KVGT,North Las Vegas Metropolitan International Airport,36.210701,-115.194,General Aviation,42301,384327,1181177,48396,7602539,331655653
US,United States of America (the),KHWO,North Perry Airport,26.0012,-80.2407,Commercial Passenger,94,30914,397844,7391,53147,408678
US,United States of America (the),KHWO,North Perry Airport,26.0012,-80.2407,Commercial Freighter,3,5969,86048,273,10140,61558
US,United States of America (the),KHWO,North Perry Airport,26.0012,-80.2407,General Aviation,63358,537966,1685593,58896,12343034,484804752
US,United States of America (the),KFNL,Northern Colorado Regional Airport,40.44969,-105.011272,Commercial Passenger,1363,140253,967067,85779,1526659,6721773
US,United States of America (the),KFNL,Northern Colorado Regional Airport,40.44969,-105.011272,General Aviation,24720,216435,632199,26871,4510405,189620396
US,United States of America (the),KPTK,Oakland County International Airport,42.665500640869,-83.420097351074,Commercial Passenger,2584,360593,2908840,200473,2121537,11309391
US,United States of America (the),KPTK,Oakland County International Airport,42.665500640869,-83.420097351074,Commercial Freighter,448,367654,2992645,69581,1484498,5426939
US,United States of America (the),KPTK,Oakland County International Airport,42.665500640869,-83.420097351074,General Aviation,23539,244344,769037,34534,4502127,193036784
US,United States of America (the),KOCF,Ocala International Airport - Jim Taylor Field,29.17259979,-82.22419739,Commercial Passenger,1401,105684,544169,83781,1964508,6962638
US,United States of America (the),KOCF,Ocala International Airport - Jim Taylor Field,29.17259979,-82.22419739,Commercial Freighter,2,1033,13511,178,747,19632
US,United States of America (the),KOCF,Ocala International Airport - Jim Taylor Field,29.17259979,-82.22419739,General Aviation,23554,209562,644381,29142,4666187,184539524
US,United States of America (the),KOGD,Ogden Hinckley Airport,41.195899963379,-112.0120010376,Commercial Passenger,1696,126664,531898,97037,1874707,8981966
US,United States of America (the),KOGD,Ogden Hinckley Airport,41.195899963379,-112.0120010376,Commercial Freighter,56,41231,353843,9742,320677,644175
US,United States of America (the),KOGD,Ogden Hinckley Airport,41.195899963379,-112.0120010376,General Aviation,19422,232990,544225,68989,3658930,158109751
US,United States of America (the),KONT,Ontario International Airport,34.056,-117.600998,Commercial Passenger,29743,21094284,282921440,1888099,20600959,216353177
US,United States of America (the),KONT,Ontario International Airport,34.056,-117.600998,Commercial Freighter,14640,25554297,354510422,1532679,21222482,223385796
US,United States of America (the),KONT,Ontario International Airport,34.056,-117.600998,General Aviation,1621,102981,1275515,17260,337381,11919649
US,United States of America (the),KORL,Orlando Executive Airport,28.5455,-81.332901,Commercial Passenger,3365,295463,2040960,217292,3763896,14385594
US,United States of America (the),KORL,Orlando Executive Airport,28.5455,-81.332901,General Aviation,37343,369593,1236635,64910,6938875,289134280
US,United States of America (the),KMCO,Orlando International Airport,28.429399490356445,-81.30899810791016,Commercial Passenger,198423,172356002,2464034276,14259275,137731327,1687441297
US,United States of America (the),KMCO,Orlando International Airport,28.429399490356445,-81.30899810791016,Commercial Freighter,3716,5520587,75483491,404593,5602808,51888229
US,United States of America (the),KMCO,Orlando International Airport,28.429399490356445,-81.30899810791016,General Aviation,3256,1303339,18240722,134135,1377376,29812514
US,United States of America (the),KSFB,Orlando Sanford International Airport,28.777599334716797,-81.23750305175781,Commercial Passenger,10934,9016235,139164825,591506,14255744,108295736
US,United States of America (the),KSFB,Orlando Sanford International Airport,28.777599334716797,-81.23750305175781,Commercial Freighter,10,10572,121704,1032,1774,81652
US,United States of America (the),KSFB,Orlando Sanford International Airport,28.777599334716797,-81.23750305175781,General Aviation,44626,425490,2128583,44374,8167828,344982896
US,United States of America (the),KFMY,Page Field,26.58659935,-81.86329650879999,Commercial Passenger,1859,137115,715658,119513,3631494,9087558
US,United States of America (the),KFMY,Page Field,26.58659935,-81.86329650879999,General Aviation,38117,349951,1081105,51339,8442222,309637895
US,United States of America (the),KPBI,Palm Beach International Airport,26.683201,-80.095596,Commercial Passenger,34834,25250784,352716877,2384895,30164821,287247158
US,United States of America (the),KPBI,Palm Beach International Airport,26.683201,-80.095596,Commercial Freighter,854,1427438,20313572,86976,910504,11254212
US,United States of America (the),KPBI,Palm Beach International Airport,26.683201,-80.095596,General Aviation,18558,543483,4269447,117268,4756999,181375431
US,United States of America (the),KPSP,Palm Springs International Airport,33.8297,-116.507004,Commercial Passenger,17385,11331732,138318288,866309,12139850,120886653
US,United States of America (the),KPSP,Palm Springs International Airport,33.8297,-116.507004,General Aviation,5002,121690,1053573,14616,1079995,39724811
US,United States of America (the),KPAO,Palo Alto Airport of Santa Clara County,37.461101532,-122.114997864,Commercial Passenger,1311,77062,337057,65776,1933955,6680982
US,United States of America (the),KPAO,Palo Alto Airport of Santa Clara County,37.461101532,-122.114997864,General Aviation,35217,287723,900084,35469,6403608,261261368
US,United States of America (the),KFFC,Peachtree City Falcon Field,33.3573,-84.5718,Commercial Passenger,280,21288,110118,20649,247277,1127072
US,United States of America (the),KFFC,Peachtree City Falcon Field,33.3573,-84.5718,Commercial Freighter,9,1323,7485,786,154,49684
US,United States of America (the),KFFC,Peachtree City Falcon Field,33.3573,-84.5718,General Aviation,29547,243379,769395,26336,5462394,226739998
US,United States of America (the),KPNS,Pensacola International Airport,30.4734,-87.1866,Commercial Passenger,16515,8847729,100606572,776051,9389759,119927754
US,United States of America (the),KPNS,Pensacola International Airport,30.4734,-87.1866,Commercial Freighter,358,587937,8638759,38895,391314,5051092
US,United States of America (the),KPNS,Pensacola International Airport,30.4734,-87.1866,General Aviation,17550,225539,1094802,30214,3312310,142156308
US,United States of America (the),KAFW,Perot Field/Fort Worth Alliance Airport,32.99044,-97.31947,Commercial Passenger,4237,1197148,15216857,316163,5542280,23922113
US,United States of America (the),KAFW,Perot Field/Fort Worth Alliance Airport,32.99044,-97.31947,Commercial Freighter,9382,10979222,149216579,890228,11458441,96751551
US,United States of America (the),KAFW,Perot Field/Fort Worth Alliance Airport,32.99044,-97.31947,General Aviation,30905,297072,877158,49075,5646968,239943756
US,United States of America (the),KPHL,Philadelphia International Airport,39.871899,-75.241096,Commercial Passenger,128851,92979716,1270533822,7457568,69694241,911921589
US,United States of America (the),KPHL,Philadelphia International Airport,39.871899,-75.241096,Commercial Freighter,9659,15837637,217055037,1108427,17376746,134124488
US,United States of America (the),KPHL,Philadelphia International Airport,39.871899,-75.241096,General Aviation,3498,627417,8570164,64049,1057308,29222357
US,United States of America (the),KDVT,Phoenix Deer Valley Airport,33.6883010864,-112.083000183,Commercial Passenger,2928,186645,851200,180215,2898296,12007775
US,United States of America (the),KDVT,Phoenix Deer Valley Airport,33.6883010864,-112.083000183,General Aviation,47582,494870,1295055,84573,8675168,372106616
US,United States of America (the),KGYR,Phoenix Goodyear Airport,33.4225006104,-112.375999451,Commercial Passenger,1406,255919,1777016,74629,604727,13540378
US,United States of America (the),KGYR,Phoenix Goodyear Airport,33.4225006104,-112.375999451,Commercial Freighter,2,1706,22596,148,1586,15062
US,United States of America (the),KGYR,Phoenix Goodyear Airport,33.4225006104,-112.375999451,General Aviation,47211,390545,1215721,41562,8509833,356097938
US,United States of America (the),KPHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905,Commercial Passenger,204873,148994736,2026728217,10896780,131983501,1503995667
US,United States of America (the),KPHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905,Commercial Freighter,7565,10069371,144022840,726066,12085596,94367029
US,United States of America (the),KPHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905,General Aviation,4221,1109786,13937381,126692,1783094,37706139
US,United States of America (the),KIWA,Phoenix–Mesa Gateway Airport,33.3078,-111.654999,Commercial Passenger,8120,6267709,97785111,501472,10251491,77485963
US,United States of America (the),KIWA,Phoenix–Mesa Gateway Airport,33.3078,-111.654999,Commercial Freighter,41,97158,1368332,5594,97199,738201
US,United States of America (the),KIWA,Phoenix–Mesa Gateway Airport,33.3078,-111.654999,General Aviation,50484,478682,2067669,56413,9142450,390332906
US,United States of America (the),KGSO,Piedmont Triad International Airport,36.097801,-79.937302,Commercial Passenger,15843,7452026,75046955,538025,8542773,93932574
US,United States of America (the),KGSO,Piedmont Triad International Airport,36.097801,-79.937302,Commercial Freighter,3790,4978329,67538137,385480,5344282,44609104
US,United States of America (the),KGSO,Piedmont Triad International Airport,36.097801,-79.937302,General Aviation,12083,152054,746730,15426,2349773,101326161
US,United States of America (the),KPIT,Pittsburgh International Airport,40.491501,-80.232903,Commercial Passenger,50855,32524856,401643478,2305388,26085284,334139999
US,United States of America (the),KPIT,Pittsburgh International Airport,40.491501,-80.232903,Commercial Freighter,1903,2822802,38253870,212650,2719196,23972057
US,United States of America (the),KPIT,Pittsburgh International Airport,40.491501,-80.232903,General Aviation,759,129510,1510742,10508,206538,6368636
US,United States of America (the),KPMP,Pompano Beach Airpark,26.247100830078,-80.111099243164,Commercial Passenger,960,72253,507752,53098,1854449,5118385
US,United States of America (the),KPMP,Pompano Beach Airpark,26.247100830078,-80.111099243164,Commercial Freighter,6,726,435,524,463,76557
US,United States of America (the),KPMP,Pompano Beach Airpark,26.247100830078,-80.111099243164,General Aviation,29729,277213,793132,37097,5912569,243825895
US,United States of America (the),KHIO,Portland Hillsboro Airport,45.540401,-122.949997,Commercial Passenger,1912,153424,756544,124978,1795966,8555392
US,United States of America (the),KHIO,Portland Hillsboro Airport,45.540401,-122.949997,Commercial Freighter,6,2348,11250,1631,97760,143406
US,United States of America (the),KHIO,Portland Hillsboro Airport,45.540401,-122.949997,General Aviation,46778,381069,1200192,43777,8473931,355148020
US,United States of America (the),KPDX,Portland International Airport,45.588699,-122.598,Commercial Passenger,77811,51914139,653862184,3659970,52033404,549893150
US,United States of America (the),KPDX,Portland International Airport,45.588699,-122.598,Commercial Freighter,7683,10486767,143542519,743827,8589493,94837888
US,United States of America (the),KPDX,Portland International Airport,45.588699,-122.598,General Aviation,2092,379412,4504521,47678,772927,15825200
US,United States of America (the),KPRC,Prescott International Airport - Ernest A. Love Field,34.654499,-112.419998,Commercial Passenger,1742,315944,1827361,84536,2038245,11362891
US,United States of America (the),KPRC,Prescott International Airport - Ernest A. Love Field,34.654499,-112.419998,Commercial Freighter,53,5327,14703,4018,3089,393482
US,United States of America (the),KPRC,Prescott International Airport - Ernest A. Love Field,34.654499,-112.419998,General Aviation,37556,293046,1051372,29887,6340244,266240180
US,United States of America (the),KPVU,Provo-Utah Lake International Airport,40.2192,-111.723,Commercial Passenger,4671,2720701,39194004,238144,5440364,40163545
US,United States of America (the),KPVU,Provo-Utah Lake International Airport,40.2192,-111.723,Commercial Freighter,2,212,1299,175,112,5058
US,United States of America (the),KPVU,Provo-Utah Lake International Airport,40.2192,-111.723,General Aviation,28323,375535,886664,119760,4991517,221896139
US,United States of America (the),KPUB,Pueblo Memorial Airport,38.289101,-104.497002,Commercial Passenger,2448,208869,1089487,154330,2353250,11888238
US,United States of America (the),KPUB,Pueblo Memorial Airport,38.289101,-104.497002,Commercial Freighter,3,2625,58201,244,2349,43202
US,United States of America (the),KPUB,Pueblo Memorial Airport,38.289101,-104.497002,General Aviation,26900,224620,688338,31147,4763009,199637833
US,United States of America (the),KLAF,Purdue University Airport,40.412875,-86.939363,Commercial Passenger,457,88757,775581,31960,498051,2565131
US,United States of America (the),KLAF,Purdue University Airport,40.412875,-86.939363,Commercial Freighter,123,74602,553162,26977,1332091,1901144
US,United States of America (the),KLAF,Purdue University Airport,40.412875,-86.939363,General Aviation,24587,205047,608715,21820,4408248,189214714
US,United States of America (the),KRDU,Raleigh Durham International Airport,35.877602,-78.787498,Commercial Passenger,69964,48192854,606810359,3422803,42846679,507850532
US,United States of America (the),KRDU,Raleigh Durham International Airport,35.877602,-78.787498,Commercial Freighter,2492,3053041,39884226,273088,4065251,29178538
US,United States of America (the),KRDU,Raleigh Durham International Airport,35.877602,-78.787498,General Aviation,16876,534238,3411495,125423,3216794,147754300
US,United States of America (the),KRHV,Reid-Hillview Airport of Santa Clara County,37.332901001,-121.819000244,Commercial Passenger,238,21586,120524,11718,213527,1429908
US,United States of America (the),KRHV,Reid-Hillview Airport of Santa Clara County,37.332901001,-121.819000244,General Aviation,31097,244590,768493,24417,5483166,231606948
US,United States of America (the),KRNO,Reno Tahoe International Airport,39.4991,-119.767998,Commercial Passenger,25937,15290760,180342546,1216086,20283437,184712624
US,United States of America (the),KRNO,Reno Tahoe International Airport,39.4991,-119.767998,Commercial Freighter,2424,3139325,41521672,294671,3306386,29301581
US,United States of America (the),KRNO,Reno Tahoe International Airport,39.4991,-119.767998,General Aviation,12627,152036,730118,18856,2475194,102113573
US,United States of America (the),KRNT,Renton Municipal Airport,47.4930992126,-122.216003418,Commercial Passenger,880,200456,2943608,36629,920217,5625027
US,United States of America (the),KRNT,Renton Municipal Airport,47.4930992126,-122.216003418,Commercial Freighter,1,154,1049,87,0,3452
US,United States of America (the),KRNT,Renton Municipal Airport,47.4930992126,-122.216003418,General Aviation,36805,314571,1126978,36618,6515376,272727477
US,United States of America (the),KFRG,Republic Airport,40.7288017273,-73.4133987427,Commercial Passenger,1563,290975,2770821,82411,2181624,9369442
US,United States of America (the),KFRG,Republic Airport,40.7288017273,-73.4133987427,Commercial Freighter,5,13116,192432,584,7878,106442
US,United States of America (the),KFRG,Republic Airport,40.7288017273,-73.4133987427,General Aviation,45868,395359,1367804,50123,8355451,349395285
US,United States of America (the),KRVS,Richard Lloyd Jones Jr Airport,36.039600372314,-95.984596252441,Commercial Passenger,1259,105535,556824,86753,1918971,6995994
US,United States of America (the),KRVS,Richard Lloyd Jones Jr Airport,36.039600372314,-95.984596252441,General Aviation,47349,390925,1189244,41041,8636361,368160196
US,United States of America (the),KRIC,Richmond International Airport,37.505199,-77.319702,Commercial Passenger,27891,17535426,211574723,1245123,17248265,196212879
US,United States of America (the),KRIC,Richmond International Airport,37.505199,-77.319702,Commercial Freighter,3005,3930934,53654952,311637,3497669,33350934
US,United States of America (the),KRIC,Richmond International Airport,37.505199,-77.319702,General Aviation,6654,145325,1163795,17501,1326771,53309342
US,United States of America (the),KRAL,Riverside Municipal Airport,33.9519,-117.445,Commercial Passenger,229,19075,108631,16494,214968,924031
US,United States of America (the),KRAL,Riverside Municipal Airport,33.9519,-117.445,General Aviation,27807,321004,784052,57773,4897444,216006523
US,United States of America (the),KRDM,Roberts Field,44.2541008,-121.1500015,Commercial Passenger,9514,4401987,44590181,401867,4602505,52081699
US,United States of America (the),KRDM,Roberts Field,44.2541008,-121.1500015,Commercial Freighter,305,43747,258898,26467,5383,1465070
US,United States of America (the),KRDM,Roberts Field,44.2541008,-121.1500015,General Aviation,15081,164888,635943,27852,2881807,116225917
US,United States of America (the),KBJC,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,Commercial Passenger,5322,893379,6712675,238110,5801739,28671031
US,United States of America (the),KBJC,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,General Aviation,56118,468370,1536427,50404,10197636,427088417
US,United States of America (the),KDCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,Commercial Passenger,149703,92562179,1051008433,5694051,70299974,961171823
US,United States of America (the),KDCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,General Aviation,901,511315,5816194,42055,435132,6710219
US,United States of America (the),KSAC,Sacramento Executive Airport,38.5125007629,-121.492996216,Commercial Passenger,910,62055,327432,61249,1024538,3729822
US,United States of America (the),KSAC,Sacramento Executive Airport,38.5125007629,-121.492996216,General Aviation,21550,204580,570216,30247,3991409,169436355
US,United States of America (the),KSMF,Sacramento International Airport,38.6954,-121.591003,Commercial Passenger,58480,41728351,531759187,2894967,37729070,431873045
US,United States of America (the),KSMF,Sacramento International Airport,38.6954,-121.591003,Commercial Freighter,2075,3042647,42620647,210154,4436759,27967712
US,United States of America (the),KSMF,Sacramento International Airport,38.6954,-121.591003,General Aviation,2162,255331,2121726,46845,440761,20074454
US,United States of America (the),KSLC,Salt Lake City International Airport,40.78886,-111.979866,Commercial Passenger,125854,82833602,1023707925,5538798,74905227,900335099
US,United States of America (the),KSLC,Salt Lake City International Airport,40.78886,-111.979866,Commercial Freighter,4308,5445009,72562832,438518,5143253,50077503
US,United States of America (the),KSLC,Salt Lake City International Airport,40.78886,-111.979866,General Aviation,10724,887245,9017716,147931,2378971,84551919
US,United States of America (the),KSAT,San Antonio International Airport,29.533701,-98.469803,Commercial Passenger,52924,35045693,454070789,2978550,40930222,406033310
